Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Prediccion,Predicted_Probability
0,0,15,1,0,635,5,4,6,2,4,5,3,1,6,3,5,2,6,4,403,1464,1,0.9868939
1,0,3,1,2,5592,1,3,4,2,3,4,4,2,1,2,3,1,3,6,1060,1281,0,0.0027738935
0,1,73,0,2,2748,5,3,2,5,6,6,0,0,2,2,2,0,5,5,1503,908,1,0.9883436
1,1,27,1,2,6530,1,0,1,2,1,4,2,6,3,4,3,1,1,1,1062,1993,0,0.0003035398
0,1,76,0,0,643,4,5,0,0,4,5,3,1,1,1,5,0,3,5,657,1265,0,0.019888822
0,1,72,0,2,6778,3,0,3,0,6,1,3,0,4,0,1,1,3,1,440,313,0,0.00054696685
1,0,79,1,1,7268,4,1,4,2,3,3,1,4,0,1,3,1,6,3,1959,616,0,0.28735968
0,1,92,0,0,5175,3,6,2,2,4,6,6,0,1,5,6,1,0,5,917,1823,0,0.0006105225
1,1,0,0,2,1295,5,3,1,4,1,3,0,3,1,1,1,3,6,1,1024,187,1,0.6817118
0,1,32,1,2,5040,5,4,4,4,5,5,4,5,0,2,4,1,1,5,1198,556,1,0.9990952
1,1,95,0,0,46,0,0,4,6,3,5,2,0,6,0,5,3,1,0,874,1479,1,0.9775808
0,1,82,1,1,3305,4,0,3,4,4,3,2,1,2,1,5,6,6,3,809,1641,1,0.6035005
0,0,78,1,0,6795,5,1,5,6,1,4,6,6,5,0,4,0,0,0,150,403,0,0.029338134
1,1,84,1,0,3181,2,3,3,1,4,0,1,3,0,1,2,4,2,6,570,676,0,0.039392337
1,1,87,1,1,2136,0,3,1,6,1,1,6,0,5,3,0,4,1,1,99,609,1,0.8541475
0,0,69,1,1,7347,1,4,4,1,4,6,1,4,6,5,5,0,0,2,217,318,1,0.99991405
1,1,67,1,1,1569,2,3,0,3,4,4,2,2,2,3,4,5,4,3,1151,1689,0,0.073809534
1,0,83,1,0,6839,0,3,1,5,5,4,2,6,4,6,6,4,5,0,544,1280,1,0.9975484
0,1,99,0,1,296,6,5,4,1,6,3,5,5,0,3,6,5,2,5,413,12,1,0.9638306
1,1,74,0,1,6380,0,1,1,0,1,5,5,6,0,6,6,3,3,3,818,102,1,0.99506384
1,0,31,0,1,5279,4,1,5,0,0,5,1,3,4,2,0,4,4,3,587,1218,1,0.57827544
0,1,15,1,1,8958,1,2,5,4,5,4,3,6,4,4,6,6,5,6,487,887,0,0.007985755
0,0,52,1,0,7939,1,5,0,5,5,4,6,3,6,3,6,3,6,4,1045,29,1,0.69876325
0,0,76,1,1,8599,6,0,0,6,1,0,4,1,1,2,3,5,5,0,92,1302,1,0.9904697
1,0,67,0,2,1187,6,1,1,2,5,1,2,0,6,4,4,6,3,6,1089,566,1,0.59395295
1,0,42,0,0,8561,0,2,4,3,0,6,4,0,3,6,6,6,4,3,1915,824,1,0.8929928
1,0,55,1,2,2600,5,1,5,6,4,1,6,0,5,5,5,2,6,1,1252,1342,1,0.9999584
1,0,84,0,1,2330,4,3,6,2,0,5,3,4,1,0,4,6,5,4,896,1787,0,0.056400422
1,1,61,1,1,4627,5,0,6,2,4,4,4,2,2,4,4,2,1,1,1581,1250,1,0.91630775
1,0,46,0,1,3633,0,6,5,2,3,0,6,4,2,6,5,1,3,6,1084,1962,1,0.998461
0,1,21,1,2,6432,4,1,5,3,0,4,0,4,0,4,4,5,6,4,446,1509,0,0.3047756
1,0,39,1,1,2078,5,3,1,3,6,0,5,5,0,4,1,4,4,1,268,796,1,0.9577975
0,0,6,1,1,4743,3,2,0,6,3,4,2,3,1,5,0,0,6,6,488,32,1,0.6652721
1,0,30,0,1,4815,4,5,4,6,0,6,0,0,0,1,1,6,5,5,24,736,0,0.14310461
1,0,1,1,0,7273,6,1,2,0,4,6,0,6,0,0,5,5,1,6,1412,816,1,0.9661638
1,0,63,1,2,6084,2,1,4,3,5,0,3,2,6,1,0,0,1,3,381,1455,0,0.012630164
1,1,60,0,2,9917,3,0,5,0,1,2,4,1,2,4,1,6,1,3,753,132,0,0.002646737
0,0,28,0,1,1364,5,2,0,3,0,4,4,6,0,2,4,2,3,5,163,402,1,0.79405195
1,1,62,0,0,2451,6,6,1,1,3,6,0,0,6,4,2,6,2,0,1095,1851,1,0.9943488
1,1,70,1,2,5948,2,2,0,2,2,2,1,0,1,6,4,3,2,5,502,458,0,0.0018889236
0,1,92,1,2,4109,1,3,3,1,4,0,0,6,3,2,3,0,5,5,712,1439,0,0.018039245
0,1,29,0,1,5624,2,2,0,0,0,2,6,2,6,2,2,0,6,0,1221,1819,0,0.00013112191
0,1,45,1,1,5281,0,0,4,5,3,4,4,2,6,5,1,5,1,4,837,284,1,0.9847874
1,0,37,1,2,3103,6,6,4,4,2,0,6,1,5,2,0,4,0,1,780,615,1,0.95943767
1,0,73,1,1,1207,3,0,6,1,2,4,0,4,6,5,4,1,1,0,1943,68,1,0.78203756
0,1,91,1,2,5328,3,2,5,0,0,0,6,0,5,3,6,2,2,2,1045,1661,0,0.008239265
1,0,13,1,2,485,6,3,5,6,0,6,0,1,5,1,6,5,2,3,1965,179,1,0.99723
0,1,76,0,2,1591,2,4,4,3,4,6,3,5,3,6,3,5,1,3,731,55,0,0.0018013307
0,1,60,0,0,3726,0,3,5,6,2,1,3,0,3,3,2,6,4,3,1208,932,1,0.8755915
1,1,69,0,1,367,1,1,4,0,6,6,1,4,6,0,0,4,6,4,1591,955,0,0.0047426173
1,0,9,0,1,8237,0,1,1,6,5,0,4,4,4,0,5,4,4,1,2000,398,1,0.98095244
1,0,71,0,1,1388,5,6,6,6,2,1,4,3,6,1,0,3,3,0,1613,76,1,0.996228
1,1,87,1,2,7880,0,5,6,3,4,6,6,0,4,6,5,5,1,4,1233,1413,1,0.9357274
1,0,2,1,1,712,3,3,2,5,5,4,6,1,0,0,2,5,5,0,417,431,1,0.9885895
1,0,8,0,2,5267,6,0,5,5,0,4,1,6,6,3,2,4,4,2,424,121,1,0.6674351
1,1,54,1,1,1935,5,5,1,4,6,1,6,0,4,1,1,5,6,3,1052,1581,1,0.9985033
1,0,97,1,2,5045,0,3,5,6,1,6,0,0,5,4,3,3,6,0,1208,1005,1,0.99850035
0,1,51,0,2,8251,4,5,1,2,1,0,6,2,2,3,1,0,1,6,189,1336,0,0.028839158
1,1,0,0,1,1239,6,5,5,1,4,2,3,1,5,1,0,4,1,6,921,824,1,0.9942569
1,1,73,0,2,1492,4,5,6,5,6,4,6,5,5,2,1,3,0,3,117,182,0,0.15210366
0,1,35,0,0,9148,2,4,6,6,3,3,2,1,1,2,4,4,0,1,457,953,0,0.00017864906
0,0,14,0,1,1661,6,6,1,2,5,3,1,6,4,6,3,4,4,2,101,657,1,0.9947811
0,0,53,0,0,5343,4,4,6,6,4,3,2,5,4,0,5,5,1,6,707,569,0,0.09094343
0,0,41,1,0,4766,4,2,5,1,1,4,6,2,3,2,3,0,5,4,1952,826,1,0.8037622
1,0,31,1,2,7661,5,5,6,1,0,1,3,5,6,3,6,5,4,5,1383,453,1,0.91285074
0,0,40,0,2,1797,0,6,6,2,1,6,4,0,0,1,5,3,0,5,1045,392,1,0.99688905
0,0,13,0,1,7025,1,5,1,5,2,6,6,2,0,1,3,5,2,6,490,981,0,0.00017967164
0,0,56,0,0,6169,6,0,6,1,3,1,6,4,0,1,4,5,6,1,1286,1674,1,0.9988777
1,0,17,0,0,9653,1,3,5,2,5,0,3,1,1,0,1,5,6,1,477,324,0,4.0289015e-05
1,1,0,1,2,4815,4,0,1,3,6,3,4,1,2,0,6,6,2,4,193,440,1,0.57593954
1,0,96,1,2,7232,4,6,5,0,5,0,3,3,2,0,5,1,4,6,856,1141,1,0.996707
1,0,62,0,1,566,4,4,3,6,4,3,3,6,6,5,6,6,2,4,1966,1237,0,0.20334487
1,1,12,0,0,3987,5,1,6,3,3,5,1,5,4,2,4,1,2,1,1428,313,1,0.98835576
1,0,18,1,1,5453,0,3,6,2,0,6,3,6,5,2,0,5,2,1,324,81,1,0.9977048
1,1,73,1,1,2790,3,0,0,3,0,2,0,1,6,5,1,5,0,2,795,236,0,0.00042480422
1,1,87,0,1,3697,6,5,5,6,2,0,6,3,3,5,6,6,5,1,762,277,1,0.99991035
0,0,84,1,2,7388,0,5,3,0,3,6,4,0,0,1,2,2,1,2,610,1293,1,0.99878293
1,0,36,0,0,8142,6,6,3,6,4,5,1,3,1,6,0,6,0,6,993,1987,1,0.99488235
0,1,55,1,2,4320,6,5,4,0,1,4,3,4,4,1,6,5,2,4,128,650,1,0.98804015
1,0,55,0,0,1669,3,0,5,6,5,3,0,1,1,2,3,2,3,4,1493,1745,0,0.0002042532
0,1,84,0,1,4362,1,1,0,2,5,4,3,5,3,0,6,0,0,3,1537,1007,0,0.000101794525
0,0,11,1,2,5194,3,4,3,5,2,1,6,4,6,2,0,4,0,4,1264,287,0,0.3902986
0,1,25,0,1,6406,3,2,3,4,5,2,5,3,0,3,3,2,1,5,1466,58,0,0.001710606
0,1,4,0,2,4987,5,5,5,4,3,1,2,5,4,3,2,1,0,3,1672,1040,1,0.99632746
0,0,13,0,1,9414,0,3,0,5,1,5,4,6,3,2,6,4,6,5,861,1404,1,0.9940507
0,0,78,0,2,9395,5,2,5,2,3,4,2,0,1,5,0,3,1,4,1050,438,1,0.9934715
1,1,96,0,1,53,0,5,3,2,1,2,0,2,1,5,3,3,1,4,236,189,1,0.9996915
1,0,41,1,2,3966,1,4,4,6,1,2,6,6,5,2,2,4,5,4,1207,384,0,0.45631915
0,1,33,0,0,1453,1,2,0,2,1,2,2,1,1,2,4,5,0,5,1749,1482,0,8.15878e-06
0,1,87,1,1,9792,1,3,5,2,3,4,5,6,0,2,4,0,3,1,1540,770,0,0.03314065
1,0,91,1,0,6984,6,2,0,3,3,5,1,5,1,4,0,4,6,2,990,473,1,0.9946866
0,1,74,1,2,7300,6,6,0,0,0,4,4,1,3,0,5,3,4,5,191,719,1,0.9721948
0,1,26,0,0,8499,3,2,4,6,4,4,0,4,1,5,4,3,4,3,1513,1357,0,0.00050363434
1,1,75,0,0,7219,6,4,3,4,6,0,4,4,1,5,0,6,6,4,1292,1854,1,0.9996245
1,0,25,1,2,3893,5,1,5,1,4,4,6,1,3,3,6,6,6,4,1014,1398,1,0.9869223
1,1,44,0,1,7860,1,2,3,5,4,1,1,2,5,2,5,2,0,5,1147,1153,0,8.934738e-05
1,0,52,0,1,3320,3,1,6,2,0,0,0,1,0,5,1,4,1,3,1857,29,0,0.0014249661
1,1,67,1,0,385,2,3,0,6,6,0,2,0,4,6,1,6,2,5,817,2000,0,0.0028692684
1,1,75,0,0,9489,1,5,4,5,4,0,6,3,2,1,1,5,1,3,427,1331,0,0.00021580388
0,0,96,1,1,6780,2,5,6,3,4,3,3,2,6,2,5,2,3,6,1964,12,1,0.6348425
0,1,43,1,0,4042,2,3,3,1,1,2,6,4,2,2,6,5,4,6,1678,1077,0,0.17066628
0,0,63,0,2,2366,1,1,4,2,0,2,0,2,2,0,6,0,3,4,1641,257,0,0.00017530892
0,0,80,0,1,1319,4,5,6,1,0,3,6,1,5,4,1,4,2,3,1631,322,0,0.019557312
0,1,32,1,0,9190,3,2,6,4,1,1,0,0,6,2,5,5,4,6,1958,424,0,0.003023103
0,0,39,1,2,2809,5,5,3,5,6,3,3,2,2,1,0,3,3,2,1213,1862,1,0.9908087
1,0,26,1,1,3572,5,0,1,5,6,5,5,6,4,1,0,6,5,4,526,1362,1,0.99387854
0,0,90,0,0,7469,0,4,4,4,0,4,5,4,6,4,5,2,6,3,1862,1225,1,0.8469842
1,1,49,0,1,8081,2,1,3,0,3,6,2,4,0,3,2,5,3,4,593,1700,0,0.00035641246
0,1,14,1,2,5376,1,0,5,5,5,2,5,2,4,5,2,2,1,5,884,171,0,0.010048208
0,1,97,0,0,2291,2,5,2,4,2,3,4,4,3,6,4,2,1,5,937,1393,0,0.00017966205
0,0,67,1,0,2760,3,6,3,1,3,6,6,2,4,2,4,1,0,3,834,1657,1,0.7690246
1,0,76,0,1,1242,4,1,2,0,2,6,1,2,0,6,6,6,0,2,155,13,0,0.12782514
1,0,70,0,2,1289,2,6,4,4,0,0,3,0,1,2,5,3,3,2,896,1489,0,0.00042799112
0,1,32,0,1,6977,0,2,0,5,5,2,3,1,0,5,1,4,0,4,506,1379,1,0.9998543
1,1,84,1,0,5826,6,0,5,5,5,4,2,3,4,6,1,1,0,3,1941,159,1,0.9717652
0,1,1,0,2,8976,1,0,4,2,4,1,4,5,0,4,2,1,1,6,1412,391,0,0.0008189779
1,0,25,1,0,8142,0,3,0,4,2,4,6,5,5,3,4,1,3,0,1066,937,1,0.99909604
1,0,49,1,1,544,1,0,3,1,2,2,1,2,4,6,3,3,6,3,1824,1917,1,0.99753857
1,1,74,1,0,7681,5,2,3,3,5,4,4,1,1,6,3,1,5,4,1606,924,1,0.6173142
0,1,40,1,2,9399,2,5,2,2,1,5,4,6,1,3,6,6,6,4,1966,1651,0,0.057464562
0,0,0,1,1,8820,0,5,4,5,0,1,5,2,2,6,6,0,0,4,73,28,1,0.9998692
0,0,80,0,2,6124,1,3,0,0,6,1,5,2,3,1,2,0,4,1,775,484,0,0.0006976813
1,1,83,1,2,2781,4,2,5,1,5,5,2,3,1,5,2,4,3,5,167,1132,0,0.16883056
0,0,32,0,2,6070,2,5,4,2,1,2,0,1,0,3,1,1,4,2,837,134,0,0.0013405776
0,0,96,0,2,6366,1,3,2,5,4,3,5,5,3,2,2,4,0,1,871,1592,0,5.2265623e-05
0,1,100,1,0,7679,3,5,5,0,2,4,4,3,6,3,1,6,6,4,1969,1221,0,0.0642201
0,1,75,1,0,5403,0,2,6,1,0,3,6,6,6,0,6,1,4,4,846,591,1,0.9990846
1,1,42,0,1,6816,6,0,1,5,1,0,5,1,4,3,5,4,1,4,876,995,1,0.93510205
1,0,44,1,0,1145,5,4,2,5,4,6,1,6,4,2,1,0,2,2,791,1546,1,0.99977297
1,1,26,0,2,1264,2,5,1,2,3,3,6,0,2,1,2,0,3,0,584,663,0,0.0005469608
0,0,93,1,0,5527,2,2,4,2,3,4,3,5,5,6,6,3,0,4,1221,778,1,0.96491057
0,0,16,0,2,9351,6,6,2,4,3,3,3,5,3,0,1,1,5,1,1361,484,1,0.6107755
0,1,12,0,1,1544,3,5,3,5,4,2,3,0,2,3,4,0,4,4,1940,828,0,0.00012480584
1,0,96,1,0,7264,1,0,3,1,0,1,1,5,3,1,1,3,0,0,1521,731,0,0.0073106843
1,0,51,0,2,2494,6,3,1,4,4,5,4,1,5,6,6,0,1,4,762,537,1,0.9917767
1,0,52,0,0,7898,1,0,0,6,2,6,6,2,4,6,4,4,3,3,1312,628,0,2.6310054e-05
1,1,66,0,1,5619,4,6,4,5,1,1,4,6,5,1,1,3,3,0,619,376,0,0.31688553
1,1,60,1,2,1348,2,0,2,3,2,2,4,4,2,6,5,0,2,0,792,997,0,0.0062149633
1,0,44,1,2,7617,3,5,1,0,1,2,5,5,6,2,0,5,6,3,381,1145,1,0.96629614
1,1,61,0,2,669,5,4,6,4,2,4,0,4,6,1,4,2,2,5,1351,1973,1,0.999019
1,0,98,0,2,6224,1,6,5,6,4,3,1,6,2,6,1,2,0,6,1578,1669,0,0.0002733357
0,1,30,1,1,8343,6,3,1,2,6,4,2,1,3,3,5,5,3,6,646,636,1,0.9557039
0,1,56,0,1,8343,3,0,2,0,4,5,4,6,1,6,1,5,4,3,670,411,0,0.007951633
0,1,84,1,0,7452,3,4,3,2,4,1,1,6,0,4,1,3,6,1,141,1118,0,0.17334218
1,0,98,0,2,3923,4,0,5,1,3,5,6,2,0,2,3,5,5,0,1731,1024,0,0.26219195
0,1,22,1,2,863,1,2,0,3,4,1,2,1,1,5,2,1,2,6,1719,62,0,8.4162086e-05
1,0,88,0,1,4096,0,3,5,1,2,4,3,2,0,2,0,5,5,2,1424,1388,1,0.99964106
1,0,83,1,0,3617,6,2,6,4,0,4,2,4,0,3,1,2,0,5,237,543,1,0.54181033
1,1,81,1,0,241,0,4,2,2,3,6,4,4,2,0,1,6,5,4,905,1444,1,0.89439905
0,1,87,0,2,7969,6,0,2,5,0,5,2,0,1,0,3,0,0,2,1385,109,1,0.9958619
0,0,31,1,1,8807,0,5,0,5,5,3,2,5,1,6,2,2,4,6,1809,1952,1,0.9997811
1,0,17,1,0,4972,3,2,5,4,1,1,1,2,0,4,4,4,0,1,1415,1428,0,0.010003904
1,0,21,1,0,5886,1,1,5,5,4,1,5,0,0,2,6,5,4,6,430,1723,1,0.94620705
0,0,63,0,1,4378,5,4,5,6,3,0,3,5,0,3,2,5,4,4,320,711,1,0.9804217
1,0,47,1,2,7939,4,3,4,2,3,1,1,6,1,6,4,5,3,2,1011,20,1,0.9209437
1,0,11,0,0,9664,1,4,3,2,1,6,2,1,6,0,0,1,6,0,855,140,0,0.0014742294
0,1,35,1,0,764,5,0,4,6,3,5,6,6,3,1,6,4,3,1,1049,1062,1,0.9983966
0,1,83,0,0,719,3,2,0,2,2,2,4,1,2,0,1,1,0,0,1461,1634,0,3.1494583e-05
0,1,98,1,2,3605,4,1,1,2,1,1,6,6,1,3,6,1,2,3,1883,1142,0,0.025121989
0,1,99,0,2,8819,6,0,3,6,0,2,3,0,1,5,5,6,6,1,1032,1819,1,0.99785763
0,1,90,0,2,625,6,6,4,1,5,6,0,3,6,1,5,5,0,5,793,1103,1,0.9988268
1,0,46,1,1,5342,6,0,1,6,2,6,2,5,5,2,3,1,5,1,166,771,1,0.9413331
1,1,71,1,2,8504,5,4,4,2,2,2,5,1,0,0,6,3,0,6,781,1469,1,0.98246694
1,1,20,0,0,450,6,2,4,0,0,1,5,0,3,0,1,3,5,2,320,1962,1,0.9864072
0,0,78,1,1,1665,3,5,1,2,5,3,1,4,0,0,3,2,3,5,1731,1500,0,0.07538569
1,0,38,1,0,144,5,0,5,4,5,4,2,3,4,5,0,2,2,6,716,93,1,0.9942899
0,1,59,0,1,1211,6,0,3,1,4,4,0,2,2,1,6,0,0,5,402,363,1,0.9767049
0,0,87,0,2,8660,4,4,0,1,3,1,5,6,5,1,5,5,6,0,1964,1117,0,0.21376224
1,0,43,0,2,2375,6,1,0,5,3,2,5,5,2,2,0,2,1,4,1518,1965,1,0.8677423
0,0,75,1,1,4320,1,2,1,6,4,4,0,3,2,3,0,5,5,6,1574,759,1,0.9931513
0,1,87,0,2,6477,3,6,5,3,1,2,6,1,1,2,4,3,1,4,171,1322,0,0.006662654
0,1,22,0,0,1637,1,6,4,2,6,0,4,5,4,4,0,0,0,3,742,475,0,0.000101421596
0,0,10,0,1,2488,1,6,1,0,6,1,0,0,2,2,5,3,2,0,1417,134,0,0.0024651987
0,1,35,0,0,7813,0,2,0,5,3,0,3,0,2,2,2,2,3,3,1925,650,1,0.95901227
0,1,28,1,1,1837,0,6,4,3,2,6,0,4,0,5,2,5,3,3,745,1454,1,0.68474054
0,1,100,1,0,275,6,3,2,6,2,1,1,2,2,0,0,1,4,2,376,186,1,0.98530245
1,1,99,0,1,512,3,5,0,3,2,1,4,0,2,2,1,5,5,3,1739,1517,0,0.00014091615
0,1,9,0,2,7281,2,5,5,6,2,2,0,0,5,3,5,4,3,3,410,1736,0,0.006256171
1,0,90,1,1,4769,2,3,4,5,2,4,5,6,0,1,3,0,2,5,241,486,0,0.06934432
0,0,12,1,1,2004,0,3,6,6,2,0,0,4,6,6,1,5,0,1,466,333,1,0.96669966
0,1,8,0,0,5364,2,4,3,1,1,3,2,6,4,2,4,3,0,5,510,1503,0,0.00022443029
0,0,13,0,0,2129,1,5,5,2,6,1,3,0,4,5,0,2,3,5,1599,1042,0,0.0012423529
1,0,29,1,2,8315,4,1,6,2,4,6,4,5,4,4,4,3,1,0,565,1022,0,0.4849264
1,1,25,1,2,8279,4,5,4,5,3,2,1,3,5,0,4,0,3,2,1139,158,0,0.064856485
0,0,87,1,0,3000,3,3,5,4,3,6,0,6,6,0,2,1,5,1,527,1791,1,0.97215694
1,0,84,0,0,2491,3,6,5,6,3,1,1,1,4,4,0,5,2,2,831,1890,0,0.00022164322
1,0,83,0,2,7155,3,6,3,4,6,6,5,1,4,5,1,4,3,5,756,1910,0,0.001093155
1,1,30,1,0,6932,4,4,2,4,3,6,5,4,3,4,2,1,3,5,1107,1258,0,0.0028250497
1,1,37,0,2,6318,2,5,1,5,0,2,1,1,3,6,5,6,2,6,1209,394,0,0.00064016506
1,1,25,1,0,5761,2,3,0,4,3,0,1,4,2,0,1,3,4,3,1714,1665,0,0.00024932282
0,1,64,1,1,3941,1,2,2,3,4,3,5,6,3,2,5,1,6,4,1464,432,0,0.0055951704
1,1,5,1,1,8445,6,4,5,0,6,2,0,4,6,3,5,4,6,6,1783,1052,1,0.99959093
1,0,52,0,2,7524,5,6,0,1,3,0,1,3,4,2,3,4,0,2,692,1133,1,0.8699304
0,1,88,1,1,5584,3,4,2,5,1,2,5,0,1,5,0,3,4,2,1925,415,0,0.09152724
0,0,25,0,1,9280,4,2,2,2,4,3,6,4,5,5,5,3,3,1,1450,17,0,0.022220345
1,0,36,0,2,458,1,5,4,2,0,2,1,0,4,5,4,2,4,0,321,1741,0,6.667232e-05
1,1,81,1,2,879,0,5,3,5,4,0,4,5,5,3,3,2,2,4,217,475,1,0.9975579
1,1,45,0,0,6747,5,3,1,0,6,5,2,4,0,2,4,2,2,2,1644,1011,1,0.98345196
1,1,85,1,1,1945,2,4,6,3,4,4,0,4,5,4,5,0,1,2,499,778,0,0.07558269
1,0,45,1,1,7309,5,1,2,6,1,0,2,1,3,2,0,3,4,3,1480,216,1,0.9942719
1,0,58,1,2,5741,2,5,3,3,3,2,6,3,2,0,1,1,6,2,771,1443,1,0.9949018
1,1,55,1,2,7856,1,6,1,6,1,2,1,2,6,5,4,5,4,1,1833,151,0,0.004471446
1,1,26,0,1,4820,5,6,5,0,5,3,1,5,1,4,4,1,3,0,384,519,1,0.99458176
0,0,28,1,2,7463,6,3,6,4,0,6,0,4,6,0,0,3,5,4,697,1520,1,0.9550852
0,1,61,0,1,5821,3,6,0,5,3,3,1,1,5,2,3,1,4,4,1969,493,0,1.9662424e-05
0,0,55,0,2,5903,5,2,6,0,0,1,3,6,5,0,1,2,5,6,42,1393,0,0.4745026
1,0,6,0,0,609,3,1,2,4,1,6,6,6,3,2,3,2,3,1,1013,846,0,8.500196e-05
1,1,43,1,0,8683,2,0,1,3,3,4,6,6,1,4,4,5,3,5,1663,1064,0,0.005386013
1,0,76,1,1,8864,3,5,0,2,2,3,1,2,3,5,3,5,3,5,824,249,0,0.3483685
